属性,質問内容
肝,肩・首こり、頭痛など痛みに悩まされがち
肝,ストレス発散が上手くできず、ため込みがちなタイプだ
肝,疲れるとイライラがこみ上げ、表に出やすくなる
心,普段分かるはずのことをド忘れして、それが疲労で顕著になる
心,就寝前に緊張して寝付けないことがある
心,些細なことでも不安を感じやすく、心拍もドキドキする方だ
脾,食欲が少なく、元気がない
脾,消化不良で、下痢や軟らかい便が多い
脾,食後に眠く、倦怠感がある
肺,声が小さかったり、枯れ気味になる
肺,鼻詰まり、咳など風邪症状をわずらいやすい
肺,疲れやすく寝汗をかきやすい体質だ
腎,足腰が重い、もしくは腰痛になりやすい
腎,夜間に尿意で目が覚めることがある
腎,セミが鳴くような耳鳴りがする
気虚,食欲に関係なく甘い物を好む
気虚,日中眠くなることが多い
気虚,疲労感が抜け切るのに時間がかかる
気滞,ガスで胸やお腹が張る、ゲップやおならがでがち
気滞,時間や仕事に追われる感覚が強く、落ち着きがない
気滞,ストレスで食事の量が多くなりがち
血虚,貧血気味で立ち眩みが起こりやすい
血虚,眠りが浅く、集中力低下が起こりがち
血虚,便が固くコロコロしている
瘀血,乾燥肌でカサカサ体質である
瘀血,上半身に対して下半身冷えが強く感じる
瘀血,疲れていると抜け毛が気になる
津虚,手足末端もあたたかく、皮膚が乾燥する際赤い
津虚,喉がイガイガしやすく、乾燥した咳がでる
津虚,疲労時もしくは夕方～夜のタイミングでほてりを感じやすい
水滞,雨の日、もしくはその前後で体や頭がだる重くなる方だ
水滞,乗り物酔いしやすい
水滞,足もしくは顔がむくみやすい
陽虚,水分摂取は控えめなのに、口の中は乾かない方だ
陽虚,冷たい飲み物より、温かい飲み物を好む
陽虚,寒さに弱く、冷房の冷えに弱い
実熱,お昼～夕方に顔や胸に熱感を感じやすい
実熱,喉が渇きやすく、毎日冷たい飲料をよく飲む
実熱,寒さより暑さの方が苦手だ
